metric,subset,detector,pair,value,value_pct
utt_eer,full,BAM,,0.087400,8.74
utt_eer,partial_only,BAM,,0.082506,8.25
utt_eer,fully_only,BAM,,0.096621,9.66
utt_eer,full,CFPRF,,0.119649,11.96
utt_eer,partial_only,CFPRF,,0.125213,12.52
utt_eer,fully_only,CFPRF,,0.110638,11.06
utt_eer,full,MRM,,0.117686,11.77
utt_eer,partial_only,MRM,,0.103098,10.31
utt_eer,fully_only,MRM,,0.136163,13.62
jaccard_err,full,,BAM/CFPRF,0.155714,15.57
jaccard_err,partial_only,,BAM/CFPRF,0.171276,17.13
jaccard_err,fully_only,,BAM/CFPRF,0.166974,16.70
jaccard_err,full,,BAM/MRM,0.199305,19.93
jaccard_err,partial_only,,BAM/MRM,0.218297,21.83
jaccard_err,fully_only,,BAM/MRM,0.212606,21.26
jaccard_err,full,,CFPRF/MRM,0.450438,45.04
jaccard_err,partial_only,,CFPRF/MRM,0.454545,45.45
jaccard_err,fully_only,,CFPRF/MRM,0.454520,45.45
